iter	Passed	Remaining
0	219	219154
1	222	111137
2	224	74760
3	226	56396
4	228	45377
5	229	38009
6	230	32750
7	232	28821
8	234	25769
9	235	23316
10	237	21309
11	238	19636
12	239	18220
13	241	17020
14	243	15982
15	245	15076
16	246	14277
17	248	13546
18	250	12915
19	252	12365
20	253	11838
21	255	11367
22	257	10938
23	259	10538
24	260	10161
25	261	9810
26	263	9480
27	264	9179
28	267	8953
29	269	8726
30	271	8481
31	273	8266
32	276	8113
33	278	7915
34	280	7722
35	282	7551
36	284	7393
37	286	7248
38	288	7101
39	289	6954
40	292	6834
41	294	6713
42	296	6609
43	298	6488
44	300	6369
45	301	6254
46	302	6142
47	304	6033
48	305	5930
49	306	5830
50	308	5734
51	309	5642
52	310	5555
53	314	5508
54	327	5619
55	329	5548
56	330	5475
57	332	5395
58	333	5318
59	334	5242
60	337	5195
61	339	5131
62	340	5070
63	342	5016
64	345	4963
65	347	4922
66	352	4907
67	355	4869
68	357	4822
69	359	4776
70	361	4726
71	365	4705
72	367	4669
73	370	4636
74	372	4589
75	373	4544
76	375	4496
77	376	4449
78	377	4404
79	379	4368
80	381	4328
81	383	4289
82	383	4242
83	385	4204
84	387	4171
85	388	4134
86	390	4096
87	392	4068
88	395	4045
89	396	4012
90	398	3978
91	399	3944
92	401	3911
93	403	3884
94	405	3865
95	409	3851
96	411	3833
97	414	3811
98	415	3779
99	416	3748
100	417	3716
101	418	3686
102	419	3656
103	420	3626
104	422	3599
105	423	3570
106	424	3543
107	425	3516
108	426	3490
109	428	3464
110	429	3437
111	430	3412
112	431	3387
113	432	3362
114	433	3337
115	434	3313
116	435	3288
117	436	3264
118	437	3241
119	438	3218
120	440	3198
121	441	3176
122	442	3155
123	443	3134
124	444	3114
125	446	3094
126	447	3073
127	448	3053
128	449	3034
129	450	3014
130	451	2995
131	452	2976
132	453	2957
133	454	2939
134	456	2922
135	457	2904
136	458	2886
137	459	2869
138	460	2852
139	461	2836
140	462	2819
141	463	2800
142	464	2785
143	465	2769
144	466	2753
145	468	2737
146	469	2722
147	470	2707
148	471	2692
149	472	2677
150	473	2663
151	474	2648
152	475	2634
153	476	2619
154	477	2605
155	479	2593
156	480	2579
157	481	2565
158	482	2552
159	483	2539
160	484	2524
161	485	2511
162	486	2498
163	487	2485
164	488	2473
165	489	2460
166	490	2448
167	491	2436
168	493	2424
169	494	2412
170	495	2401
171	496	2389
172	497	2380
173	499	2370
174	500	2360
175	501	2350
176	503	2339
177	504	2328
178	505	2317
179	506	2307
180	507	2297
181	508	2286
182	509	2276
183	510	2265
184	511	2255
185	513	2245
186	514	2235
187	515	2226
188	517	2219
189	518	2211
190	519	2202
191	521	2193
192	522	2184
193	523	2175
194	524	2166
195	526	2157
196	527	2148
197	528	2139
198	529	2131
199	530	2122
200	531	2113
201	532	2104
202	533	2095
203	534	2087
204	536	2079
205	537	2071
206	538	2063
207	539	2054
208	540	2046
209	541	2038
210	542	2030
211	544	2022
212	545	2014
213	546	2006
214	547	1998
215	548	1990
216	549	1983
217	550	1975
218	551	1967
219	552	1959
220	553	1952
221	554	1944
222	555	1936
223	557	1929
224	558	1922
225	559	1915
226	560	1908
227	561	1901
228	562	1894
229	563	1887
230	564	1879
231	565	1872
232	566	1866
233	567	1859
234	568	1852
235	570	1845
236	571	1839
237	573	1835
238	575	1830
239	576	1824
240	577	1818
241	578	1811
242	579	1805
243	580	1799
244	581	1792
245	582	1786
246	584	1780
247	585	1774
248	586	1768
249	587	1762
250	588	1756
251	589	1750
252	590	1744
253	591	1738
254	592	1732
255	593	1726
256	594	1720
257	596	1714
258	597	1708
259	598	1704
260	600	1699
261	601	1693
262	602	1687
263	603	1681
264	604	1676
265	605	1670
266	606	1665
267	607	1659
268	608	1653
269	609	1648
270	610	1643
271	611	1637
272	612	1632
273	614	1627
274	615	1623
275	616	1618
276	618	1613
277	619	1608
278	620	1603
279	621	1598
280	622	1593
281	624	1589
282	625	1584
283	626	1579
284	627	1574
285	628	1570
286	630	1565
287	631	1561
288	632	1556
289	633	1551
290	634	1546
291	635	1541
292	637	1537
293	638	1532
294	639	1527
295	640	1522
296	641	1518
297	642	1513
298	643	1508
299	644	1504
300	645	1499
301	647	1495
302	648	1490
303	649	1486
304	650	1481
305	651	1477
306	652	1472
307	653	1468
308	654	1463
309	655	1459
310	656	1455
311	657	1450
312	659	1446
313	660	1442
314	661	1438
315	662	1433
316	663	1429
317	664	1425
318	665	1420
319	666	1416
320	667	1412
321	668	1408
322	669	1404
323	671	1400
324	672	1395
325	673	1391
326	674	1387
327	675	1383
328	676	1379
329	677	1375
330	678	1371
331	679	1367
332	680	1363
333	681	1359
334	682	1355
335	683	1351
336	685	1347
337	686	1343
338	688	1343
339	690	1339
340	691	1336
341	692	1332
342	695	1332
343	697	1329
344	698	1326
345	699	1322
346	701	1319
347	703	1317
348	705	1316
349	706	1312
350	707	1308
351	709	1305
352	710	1302
353	713	1301
354	714	1298
355	716	1296
356	718	1293
357	720	1291
358	721	1288
359	722	1285
360	724	1282
361	725	1279
362	727	1275
363	728	1272
364	729	1269
365	730	1265
366	732	1262
367	733	1259
368	734	1256
369	735	1252
370	736	1249
371	738	1246
372	740	1244
373	742	1242
374	743	1239
375	745	1237
376	747	1235
377	748	1232
378	750	1229
379	751	1226
380	753	1223
381	754	1220
382	755	1217
383	757	1214
384	758	1211
385	759	1208
386	761	1205
387	762	1203
388	764	1201
389	766	1198
390	767	1195
391	769	1193
392	771	1192
393	773	1189
394	775	1187
395	776	1183
396	777	1181
397	778	1178
398	780	1175
399	781	1172
400	782	1169
401	783	1166
402	785	1163
403	786	1160
404	787	1157
405	789	1154
406	790	1151
407	791	1148
408	792	1145
409	793	1142
410	794	1139
411	796	1136
412	797	1133
413	799	1131
414	800	1128
415	801	1125
416	803	1123
417	804	1120
418	806	1118
419	808	1116
420	810	1114
421	811	1111
422	812	1108
423	813	1105
424	814	1102
425	815	1099
426	816	1096
427	817	1093
428	819	1090
429	820	1087
430	821	1084
431	822	1081
432	823	1078
433	824	1075
434	825	1072
435	826	1069
436	828	1066
437	829	1063
438	830	1060
439	831	1057
440	832	1055
441	833	1052
442	834	1049
443	835	1046
444	836	1043
445	837	1040
446	838	1037
447	840	1035
448	841	1032
449	842	1029
450	843	1026
451	844	1023
452	845	1020
453	846	1018
454	847	1015
455	848	1012
456	850	1009
457	851	1007
458	852	1004
459	853	1001
460	854	998
461	855	996
462	856	993
463	857	990
464	858	987
465	859	985
466	860	982
467	861	979
468	863	977
469	864	974
470	865	971
471	866	969
472	867	966
473	868	963
474	869	961
475	870	958
476	871	955
477	872	953
478	873	950
479	874	947
480	876	945
481	877	942
482	878	940
483	880	938
484	881	936
485	883	933
486	884	931
487	885	928
488	886	926
489	887	923
490	888	921
491	889	918
492	890	916
493	891	913
494	893	911
495	894	908
496	895	905
497	896	903
498	897	900
499	898	898
500	899	895
501	900	893
502	901	890
503	902	888
504	903	885
505	904	883
506	905	880
507	906	878
508	908	876
509	909	873
510	910	871
511	911	868
512	912	866
513	913	863
514	914	861
515	915	858
516	916	856
517	917	854
518	919	851
519	920	849
520	921	846
521	922	844
522	923	842
523	924	839
524	925	837
525	926	834
526	927	832
527	928	830
528	929	827
529	930	825
530	932	823
531	933	820
532	934	818
533	935	816
534	936	813
535	937	811
536	938	809
537	939	806
538	940	804
539	941	802
540	942	799
541	943	797
542	944	795
543	946	793
544	947	790
545	948	788
546	949	786
547	950	783
548	951	781
549	952	779
550	953	777
551	954	774
552	955	772
553	956	770
554	958	768
555	959	765
556	960	763
557	961	761
558	962	759
559	963	757
560	964	754
561	965	752
562	966	750
563	967	748
564	969	746
565	970	743
566	971	741
567	972	739
568	973	737
569	974	735
570	976	733
571	977	731
572	978	729
573	979	727
574	980	724
575	981	722
576	983	720
577	984	718
578	985	716
579	986	714
580	987	712
581	988	710
582	989	707
583	991	705
584	992	703
585	993	701
586	994	699
587	995	697
588	996	695
589	997	693
590	999	691
591	1000	689
592	1001	687
593	1002	685
594	1003	683
595	1005	681
596	1006	679
597	1007	677
598	1008	675
599	1009	673
600	1010	670
601	1011	668
602	1012	666
603	1014	664
604	1015	662
605	1016	660
606	1017	658
607	1018	656
608	1020	654
609	1021	653
610	1023	651
611	1024	649
612	1025	647
613	1027	645
614	1028	643
615	1029	641
616	1030	639
617	1031	637
618	1032	635
619	1033	633
620	1035	631
621	1036	629
622	1037	627
623	1038	625
624	1039	623
625	1040	621
626	1041	619
627	1042	617
628	1043	615
629	1044	613
630	1045	611
631	1046	609
632	1048	607
633	1049	605
634	1050	603
635	1051	601
636	1052	599
637	1053	597
638	1054	595
639	1055	593
640	1057	592
641	1058	590
642	1059	588
643	1060	586
644	1061	584
645	1062	582
646	1063	580
647	1065	578
648	1066	576
649	1067	574
650	1068	572
651	1069	570
652	1070	568
653	1071	567
654	1072	565
