iter	Passed	Remaining
0	135	134911
1	139	69401
2	148	49378
3	155	38697
4	159	31774
5	164	27223
6	167	23703
7	170	21176
8	177	19534
9	180	17840
10	183	16498
11	186	15392
12	191	14556
13	194	13673
14	196	12933
15	198	12227
16	201	11626
17	203	11121
18	205	10611
19	207	10182
20	209	9752
21	210	9354
22	211	8991
23	212	8657
24	214	8348
25	216	8104
26	218	7876
27	219	7632
28	221	7402
29	222	7188
30	223	7000
31	225	6813
32	226	6635
33	227	6466
34	229	6315
35	232	6212
36	233	6079
37	234	5948
38	236	5824
39	237	5706
40	238	5588
41	240	5483
42	241	5378
43	242	5275
44	247	5260
45	252	5232
46	253	5142
47	254	5053
48	255	4967
49	257	4885
50	259	4825
51	261	4766
52	263	4705
53	264	4634
54	265	4568
55	267	4503
56	268	4439
57	269	4376
58	270	4315
59	271	4256
60	275	4235
61	276	4190
62	278	4137
63	279	4091
64	282	4057
65	283	4008
66	284	3959
67	285	3918
68	286	3872
69	290	3854
70	291	3814
71	292	3774
72	294	3733
73	295	3693
74	296	3654
75	297	3617
76	298	3580
77	299	3543
78	300	3507
79	301	3472
80	305	3462
81	306	3431
82	307	3393
83	309	3371
84	310	3344
85	311	3314
86	312	3283
87	314	3254
88	315	3225
89	316	3197
90	320	3200
91	321	3177
92	323	3151
93	325	3132
94	326	3108
95	327	3082
96	328	3057
97	329	3033
98	330	3009
99	333	3004
100	335	2985
101	336	2964
102	337	2943
103	339	2922
104	340	2904
105	342	2884
106	343	2868
107	345	2852
108	348	2846
109	350	2834
110	351	2816
111	352	2797
112	354	2779
113	355	2765
114	356	2746
115	358	2728
116	358	2709
117	360	2691
118	363	2687
119	365	2676
120	366	2664
121	367	2646
122	369	2632
123	370	2616
124	371	2600
125	372	2585
126	373	2568
127	374	2552
128	377	2550
129	380	2546
130	381	2531
131	382	2517
132	384	2504
133	385	2490
134	386	2476
135	387	2462
136	388	2448
137	390	2437
138	393	2435
139	394	2424
140	396	2413
141	397	2400
142	398	2388
143	399	2376
144	401	2366
145	402	2354
146	403	2342
147	404	2330
148	408	2332
149	409	2322
150	411	2313
151	414	2312
152	415	2302
153	417	2291
154	418	2279
155	419	2268
156	420	2258
157	423	2256
158	425	2248
159	426	2241
160	427	2228
161	428	2218
162	429	2207
163	431	2197
164	432	2186
165	433	2176
166	434	2166
167	438	2169
168	440	2164
169	441	2154
170	442	2145
171	444	2138
172	445	2129
173	446	2120
174	447	2111
175	448	2101
176	450	2096
177	452	2091
178	454	2082
179	455	2075
180	456	2066
181	457	2057
182	459	2050
183	460	2042
184	461	2033
185	462	2024
